date,fii_cash_net,dii_cash_net,nifty_spot,nifty_pcr_weekly,nifty_max_pain_weekly,nifty_pcr_monthly,nifty_max_pain_monthly,banknifty_spot,banknifty_pcr_weekly,banknifty_max_pain_weekly,banknifty_pcr_monthly,banknifty_max_pain_monthly,verdict
2026-06-11,-1987.09,4224.51,,,,,,,,,,,DIVERGENT (DII absorbing FII)
2026-06-11,-1987.09,4224.51,,,,,,,,,,,DIVERGENT (DII absorbing FII)
2026-06-22,-635.91,1035.72,24102.9,0.8761566909064803,24150,1.0020471543836114,24100,57935.6,1.1010207865099435,56500,1.1010207865099435,56500,DIVERGENT (DII absorbing FII)
2026-06-22,,,,,,,,,,,,,DIVERGENT (DII absorbing FII)
2026-06-23,-635.91,1035.72,24121.75,1.1471773071803673,24100,1.0016505729513616,24100,57927.6,1.0641402850015922,57000,1.0641402850015922,57000,DIVERGENT (DII absorbing FII)
2026-06-23,17.86,680.21,23824.1,0.5998654711042808,24100,0.7927444376962204,24200,57183.75,0.8800851891061954,57400,0.8800851891061954,57400,DIVERGENT (DII absorbing FII)
2026-06-23,,,,,,,,,,,,,DIVERGENT (DII absorbing FII)
2026-06-24,,,,,,,,,,,,,MILD BULLISH
2026-06-25,-1843.4,3637.26,24056,1.024387382487878,24050,1.024387382487878,24050,58177.05,1.1756617951813741,57000,1.1756617951813741,57000,MIXED / NEUTRAL
2026-06-25,,,,,,,,,,,,,DIVERGENT (DII absorbing FII)
2026-06-26,,,,,,,,,,,,,MILD BULLISH
2026-06-29,383.76,5747.75,23946.25,0.7701658377242311,24150,0.7701658377242311,24150,57727.35,0.9822916681946802,57600,0.9822916681946802,57600,MILD BULLISH
2026-06-29,,,,,,,,,,,,,MILD BULLISH
2026-06-30,-1350.1,2801.45,23865.75,0.8003690952163335,24000,0.8003690952163335,24000,57542.9,0.8174268164091921,57700,0.8174268164091921,57700,MILD BULLISH
2026-06-30,,,,,,,,,,,,,MILD BULLISH
2026-07-01,-1140.5,3159.24,24005.85,1.1057106608984815,24000,1.1056910085190284,24000,58033.05,0.9082365052833703,58500,0.9082365052833703,58500,MILD BULLISH
2026-07-01,,,,,,,,,,,,,DIVERGENT (DII absorbing FII)
2026-07-02,-311.82,1784.4,24175.7,1.321906867965843,23950,1.1043769021604488,24000,58031.65,0.870435639258804,58500,0.870435639258804,58500,DIVERGENT (DII absorbing FII)
2026-07-02,,,,,,,,,,,,,DIVERGENT (DII absorbing FII)
2026-07-03,1355.33,-1953.89,24270.85,0.9980459280643442,24200,1.1385985352611976,24100,57938.5,0.848800640700082,58500,0.848800640700082,58500,MILD BULLISH
2026-07-03,,,,,,,,,,,,,MILD BULLISH
2026-07-06,1355.33,-1953.89,24430.35,1.4814170974525418,24100,1.1853903245229231,24100,58291.5,0.8908918360597593,58500,0.8908918360597593,58500,MIXED / NEUTRAL
2026-07-06,,,,,,,,,,,,,MIXED / NEUTRAL
2026-07-07,393.19,-383.43,24398.7,1.0316816227239822,24400,1.1589367864536109,24100,58200.7,0.8872078631554187,58600,0.8872078631554187,58600,MIXED / NEUTRAL
2026-07-07,,,,,,,,,,,,,MIXED / NEUTRAL
2026-07-08,,,,,,,,,,,,,MILD BEARISH
2026-07-09,-532.86,2057.79,23962.8,0.7913841837927443,24300,1.107744664396008,24100,57252.45,0.8504072564173107,58500,0.8504072564173107,58500,MILD BEARISH
2026-07-09,,,,,,,,,,,,,MIXED / NEUTRAL
2026-07-10,2603.72,2019.68,24206.9,1.2716320581864144,24000,1.1363445529180025,24100,58045.9,0.9360916708261207,58300,0.9360916708261207,58300,MIXED / NEUTRAL
2026-07-10,,,,,,,,,,,,,BULLISH BIAS
2026-07-13,-3062.27,2171.7,24211,1.6221142803571846,23900,1.1044787760867223,24150,58131.45,0.9715846126092074,58200,0.9715846126092074,58200,BULLISH BIAS
